response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect
 200;2;13;0;0.300283;0.195220;0.194815;0.300297;0.051518
 200;2;13;0;0.298398;0.186894;0.186814;0.298663;0.049858
 200;2;12;0;0.319246;0.207596;0.201730;0.319264;0.056793
 200;2;12;0;0.317065;0.211213;0.210189;0.317092;0.056455
 200;2;10;0;0.396965;0.272192;0.272110;0.396979;0.062950
 200;2;11;0;0.339235;0.210265;0.209081;0.339251;0.054598
 200;2;9;0;0.400252;0.270869;0.270785;0.400270;0.058531
 200;2;9;0;0.436692;0.279932;0.279852;0.436712;0.063204
 200;2;13;0;0.304524;0.203466;0.203377;0.304540;0.052155
 200;2;13;0;0.293660;0.187985;0.187906;0.293680;0.051501
 200;2;10;0;0.387716;0.286220;0.286160;0.387734;0.055559
 200;2;10;0;0.397728;0.269880;0.269810;0.397740;0.058473
 200;2;11;0;0.333939;0.198753;0.198664;0.333955;0.049238
 200;2;10;0;0.384299;0.261161;0.261061;0.384313;0.053985
 200;2;9;0;0.404245;0.269104;0.269025;0.404263;0.059239
 200;2;10;0;0.382390;0.272135;0.272063;0.382483;0.056461
 200;2;9;0;0.410682;0.295761;0.295696;0.410700;0.062722
 200;2;10;0;0.391896;0.282857;0.282768;0.391911;0.059303
 200;2;9;0;0.427950;0.285356;0.285283;0.427963;0.060140
 200;2;10;0;0.387843;0.273825;0.273746;0.387863;0.056511
 200;2;10;0;0.380922;0.271226;0.271163;0.381354;0.054606
 200;2;9;0;0.411814;0.273739;0.273646;0.411828;0.056947
 200;2;9;0;0.404883;0.290252;0.290156;0.404899;0.059485
 200;2;9;0;0.409321;0.291472;0.291389;0.421324;0.059713
 200;2;9;0;0.400113;0.282649;0.282167;0.400124;0.058262
 200;2;9;0;0.403406;0.297181;0.297089;0.403420;0.057054
 200;2;10;0;0.376941;0.286489;0.286401;0.376956;0.053677
 200;2;9;0;0.401529;0.300745;0.300670;0.401543;0.056625
 200;2;9;0;0.402296;0.301396;0.301337;0.402309;0.057174
 200;2;10;0;0.394268;0.286992;0.286925;0.394280;0.055349
 200;2;9;0;0.416068;0.299980;0.299908;0.416099;0.058729
 200;2;10;0;0.393333;0.300118;0.299916;0.393346;0.057250
 200;2;10;0;0.384393;0.287399;0.287224;0.385181;0.054159
 200;2;10;0;0.391810;0.298659;0.298551;0.391825;0.058587
 200;2;9;0;0.434659;0.351164;0.351086;0.434695;0.061897
 200;2;10;0;0.380698;0.293078;0.292979;0.380711;0.055490
 200;2;8;0;0.457546;0.362873;0.362812;0.457560;0.059846
 200;2;6;0;0.573253;0.362136;0.362037;0.573271;0.068359
 200;2;10;0;0.381362;0.293438;0.293305;0.384712;0.051987
 200;2;8;0;0.455569;0.361568;0.361495;0.455604;0.063780
 200;2;6;0;0.635503;0.515000;0.514900;0.635527;0.109876
 200;2;6;0;0.580978;0.477251;0.477178;0.580994;0.109411
 200;2;7;0;0.521314;0.434881;0.433689;0.521332;0.083301
 200;2;8;0;0.454208;0.362931;0.362852;0.454223;0.063928
 200;2;8;0;0.479034;0.384427;0.384342;0.479053;0.070850
 200;2;7;0;0.560890;0.377316;0.377240;0.560922;0.069290
 200;2;6;0;0.573706;0.463303;0.463170;0.573732;0.098958
 200;2;6;0;0.615431;0.520431;0.520352;0.615448;0.108222
 200;2;6;0;0.576483;0.470610;0.470524;0.576497;0.103262
 200;2;6;0;0.650724;0.517676;0.517331;0.650753;0.105755
 200;2;6;0;0.572115;0.473156;0.473075;0.572128;0.100322
 200;2;6;0;0.659693;0.571158;0.571078;0.659722;0.111832
 200;2;6;0;0.662259;0.577617;0.577545;0.662275;0.112180
 200;2;6;0;0.588862;0.505164;0.496075;0.590961;0.102335
 200;2;5;0;0.685338;0.586979;0.586910;0.688204;0.127502
 200;2;6;0;0.610961;0.517298;0.517214;0.610974;0.109436
 200;2;6;0;0.655110;0.525442;0.524113;0.655127;0.109429
 200;2;0;0;40.148338;40.104786;40.104327;40.148394;0.123787
 200;2;5;0;0.682125;0.585235;0.585122;0.682136;0.121073
 200;2;0;0;16.457226;16.418182;16.417922;16.457390;0.120931
 200;2;5;0;0.675154;0.579561;0.579472;0.675169;0.120082
 200;2;5;0;0.685586;0.593508;0.593083;0.688770;0.123563
 200;2;5;0;0.740166;0.628753;0.626059;0.740184;0.124263
 200;2;5;0;0.686325;0.590934;0.590841;0.686340;0.124046
 200;2;5;0;0.740061;0.622396;0.622290;0.740074;0.123535
 200;2;0;0;40.834893;40.792053;40.791750;40.834942;0.125668
