response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect
 200;3;0;0;3.961893;1.276317;1.230765;9.664546;0.000000
 000;0;0;0;0.000000;21.025856;15.382001;90.430646;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;76.079977;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;60.315150;0.000000
 000;0;0;0;0.000000;20.960334;7.577172;67.627663;0.000000
 000;0;0;0;0.000000;21.102784;5.696384;49.368549;0.000000
 000;0;0;0;0.000000;1.430704;1.389463;41.851019;0.000000
 000;0;0;0;0.000000;21.101945;7.632025;69.371420;0.000000
 200;3;2;0;1.801179;0.610232;0.294484;1.803613;0.000000
 200;3;2;0;1.523770;1.068086;1.066685;1.540977;0.000000
 200;3;0;0;19.117383;2.536820;2.489262;20.602820;0.000000
 000;0;0;0;0.000000;20.958676;7.562422;67.780537;0.000000
 200;3;0;0;19.204106;1.345866;1.334823;20.890439;0.000000
 200;3;2;0;1.374372;0.939980;0.867203;1.406036;0.000000
 200;3;2;0;1.726094;1.138128;1.127389;1.730921;0.000000
 200;3;0;0;20.476436;1.256959;1.255441;20.538212;0.000000
 200;3;1;0;2.034743;1.252491;1.231269;2.035594;0.000000
 000;0;0;0;0.000000;20.950551;8.484947;49.782972;0.000000
 200;3;0;0;18.652758;1.264650;1.233819;18.701950;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;60.363254;0.000000
 200;3;0;0;19.199078;2.852078;2.704859;19.232680;0.000000
 200;3;2;0;1.954124;1.247329;1.233198;1.954971;0.000000
 200;3;0;0;15.337862;1.510135;1.462183;20.478884;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;96.077105;0.000000
 200;3;2;0;1.892969;1.225473;1.223079;1.893174;0.000000
 200;3;1;0;3.758221;2.530764;2.496532;3.758788;0.000000
 200;3;2;0;1.585602;1.061725;1.060111;1.586199;0.000000
 200;3;0;0;20.300363;2.417136;2.286523;20.428037;0.000000
 200;3;0;0;21.774803;21.085107;15.493153;21.783917;0.000000
 000;0;0;0;0.000000;21.012710;7.547096;69.102375;0.000000
 200;3;1;0;3.428316;2.089418;2.042480;3.440216;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;79.981535;0.000000
 200;3;2;0;1.770708;1.213792;1.211744;1.772412;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;85.501884;0.000000
 200;3;2;0;1.532792;1.056530;1.055275;1.533022;0.000000
 200;3;2;0;1.848576;1.216085;1.214250;1.850183;0.000000
 000;0;0;0;0.000000;3.497215;3.470502;45.146947;0.000000
 000;0;0;0;0.000000;21.079266;7.542940;49.345677;0.000000
 200;3;2;0;1.600417;1.069319;1.065156;1.601745;0.000000
 000;0;0;0;0.000000;1.387361;1.343921;34.635508;0.000000
 000;0;0;0;0.000000;21.029498;5.675430;51.015510;0.000000
 000;0;0;0;0.000000;20.934136;15.359911;84.333820;0.000000
 200;3;2;0;1.541309;1.065318;1.062474;1.541579;0.000000
 200;3;1;0;3.036093;1.865282;1.859567;3.036432;0.000000
 000;0;0;0;0.000000;20.932762;15.488154;62.874976;0.000000
 200;3;3;0;1.067994;0.504368;0.503241;1.068185;0.000000
 200;3;2;0;1.470262;1.024179;1.016937;1.470723;0.000000
 200;3;0;0;18.632802;1.374454;1.366294;18.681127;0.000000
 200;3;2;0;1.704426;1.118084;1.104503;1.707048;0.000000
 000;0;0;0;0.000000;1.237783;1.210682;32.665779;0.000000
 200;3;0;0;19.142928;2.669775;2.637536;19.238764;0.000000
 000;0;0;0;0.000000;20.931009;15.444890;90.374798;0.000000
 200;3;0;0;19.140545;1.363390;1.321344;19.238005;0.000000
 000;0;0;0;0.000000;21.073459;7.547254;68.311337;0.000000
 200;3;2;0;1.455840;0.991588;0.987771;1.456048;0.000000
 200;3;2;0;1.465898;1.016546;1.012871;1.466424;0.000000
 200;3;2;0;1.477291;1.021351;1.016982;1.478624;0.000000
 200;3;0;0;19.086889;1.358532;1.356267;19.193870;0.000000
 200;3;2;0;1.928637;1.219538;1.203062;1.929586;0.000000
 000;0;0;0;0.000000;21.048634;15.594368;51.048924;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;45.251117;0.000000
 000;0;0;0;0.000000;20.924228;15.297160;90.568694;0.000000
 200;3;2;0;1.692374;1.103694;1.091762;1.693250;0.000000
 200;3;0;0;20.495997;20.337502;15.345328;20.496326;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;48.823637;0.000000
 200;3;2;0;1.745706;1.192489;1.189805;1.746709;0.000000
 000;0;0;0;0.000000;20.402847;7.523756;48.817809;0.000000
 200;3;0;0;21.043217;2.393954;2.353453;21.072417;0.000000
 200;3;0;0;18.618904;1.223543;1.196766;18.668040;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;105.596003;0.000000
 200;3;0;0;19.498530;1.850491;1.843231;21.049203;0.000000
 000;0;0;0;0.000000;21.060298;5.623314;51.046893;0.000000
 200;3;0;0;19.070129;1.222782;1.221154;19.114897;0.000000
 200;3;1;0;2.231574;1.227356;1.205721;2.236919;0.000000
 000;0;0;0;0.000000;1.463638;1.458034;36.348154;0.000000
 200;3;2;0;1.663098;1.084989;1.080493;1.673382;0.000000
 200;3;1;0;2.231186;1.225950;1.201274;2.239706;0.000000
 000;0;0;0;0.000000;1.340987;1.339127;34.985649;0.000000
 200;3;1;0;2.550824;1.512910;1.507861;2.552547;0.000000
 000;0;0;0;0.000000;20.939809;7.519480;65.766676;0.000000
 000;0;0;0;0.000000;20.911694;7.519953;64.873480;0.000000
 200;3;2;0;1.917612;1.210906;1.191574;1.917961;0.000000
 200;3;2;0;1.575015;1.045624;1.042293;1.576080;0.000000
 200;3;2;0;1.942414;1.208852;1.191309;1.942811;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;60.282965;0.000000
 200;3;2;0;1.739120;1.183015;1.180436;1.748696;0.000000
 200;3;2;0;1.681455;1.181470;1.179457;1.685539;0.000000
 000;0;0;0;0.000000;20.908874;3.583748;50.517893;0.000000
 000;0;0;0;0.000000;20.907994;8.440214;50.242640;0.000000
 000;0;0;0;0.000000;20.930536;7.515179;67.862741;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;80.520361;0.000000
 200;3;1;0;3.528289;2.230768;2.073678;3.528818;0.000000
 000;0;0;0;0.000000;21.052028;15.319581;85.206550;0.000000
 000;0;0;0;0.000000;21.061312;7.523795;68.310850;0.000000
 000;0;0;0;0.000000;21.049104;5.613010;51.031049;0.000000
 000;0;0;0;0.000000;21.052445;5.659361;50.461199;0.000000
 200;3;1;0;2.586321;1.574319;1.568044;2.589938;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;81.605877;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;75.234992;0.000000
 200;3;1;0;2.532140;1.456547;1.454633;2.532534;0.000000
 000;0;0;0;0.000000;21.098786;15.279599;87.667353;0.000000
 000;0;0;0;0.000000;20.973451;7.512365;67.990384;0.000000
 200;3;0;0;18.794705;1.401117;1.399978;18.845708;0.000000
 200;3;1;0;3.392184;2.072041;2.031170;3.409607;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;83.156686;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;78.794750;0.000000
 200;3;2;0;1.838691;1.194146;1.186845;1.841509;0.000000
 000;0;0;0;0.000000;1.441869;1.440105;38.965406;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;76.117342;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;79.985474;0.000000
 000;0;0;0;0.000000;20.981165;15.284549;89.899408;0.000000
 000;0;0;0;0.000000;21.040776;8.427142;51.024992;0.000000
 200;3;0;0;20.005511;3.452348;3.427251;20.856383;0.000000
 200;3;1;0;3.311876;1.968588;1.955869;3.312033;0.000000
 200;3;1;0;3.701732;2.526728;2.498788;3.703105;0.000000
 200;3;1;0;3.762954;2.527545;2.524837;3.830051;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;60.312276;0.000000
 200;3;2;0;1.974948;1.200126;1.198517;1.975526;0.000000
 200;3;2;0;1.912704;1.190830;1.171103;1.913090;0.000000
 000;0;0;0;0.000000;20.889599;15.315620;84.376076;0.000000
 000;0;0;0;0.000000;21.033730;4.225086;49.617063;0.000000
 200;3;2;0;1.654001;1.069171;1.053555;1.658244;0.000000
 200;3;1;0;2.510600;1.435893;1.433844;2.511023;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;60.319598;0.000000
 200;3;0;0;17.197542;1.286215;1.284858;19.009545;0.000000
 000;0;0;0;0.000000;21.033780;15.274562;91.198012;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;60.328765;0.000000
 200;3;0;0;18.599813;1.277608;1.275885;18.633663;0.000000
 200;3;0;0;19.453733;1.198464;1.189468;21.008234;0.000000
 200;3;1;0;2.200549;1.196275;1.189973;2.203844;0.000000
 000;0;0;0;0.000000;0.000000;0.000000;60.255909;0.000000
 200;3;0;0;3.867483;2.603995;2.534276;4.516133;0.000000
 000;0;0;0;0.000000;20.902998;5.284806;50.903445;0.000000
 200;3;0;0;18.774617;1.436724;1.411488;18.825988;0.000000
 000;0;0;0;0.000000;21.024941;3.557974;50.965352;0.000000
 200;3;0;0;4.112866;2.576346;2.542469;19.004525;0.000000
 200;3;2;0;1.765956;1.156651;1.154647;1.766102;0.000000
 000;0;0;0;0.000000;20.900005;3.740266;48.846887;0.000000
 000;0;0;0;0.000000;21.029067;7.490908;68.338494;0.000000
 200;3;2;0;1.823111;1.175309;1.163593;1.823531;0.000000
