response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect
 200;3;44;1923285;0.545112;0.081297;0.077689;0.545307;0.000000
 200;3;43;1905322;0.550387;0.087313;0.083729;0.550448;0.000000
 200;3;42;1876119;0.558905;0.086865;0.085944;0.559016;0.000000
 200;3;40;1760059;0.595741;0.089427;0.084450;0.595878;0.000000
 200;3;44;1947984;0.538267;0.088682;0.084573;0.538393;0.000000
 200;3;42;1855415;0.565120;0.089657;0.086032;0.565254;0.000000
 200;3;43;1895104;0.553228;0.093661;0.089393;0.553416;0.000000
 200;3;44;1948762;0.538030;0.096634;0.091874;0.538178;0.000000
 200;3;39;1719118;0.609955;0.086308;0.081821;0.610069;0.000000
 200;3;46;2013699;0.520487;0.082954;0.080525;0.520823;0.000000
