response_code ;http_version ;speed_download ;speed_upload ;time_starttransfer ;time_pretransfer ;time_appconnect ;time_total ;time_connect
          200 ;           3 ;             0 ;           0 ;         12.585877 ;        8.545075 ;       8.541815 ; 12.585905 ;    5.511271
          000 ;           0 ;             0 ;           0 ;          0.000000 ;        0.000000 ;       0.000000 ; 14.808285 ;    0.000000
          200 ;           3 ;             0 ;           0 ;         12.940763 ;        8.561125 ;       8.557378 ; 12.940779 ;    5.507072
          200 ;           3 ;             0 ;           0 ;         12.135931 ;        8.090290 ;       8.084273 ; 12.136005 ;    5.527097
          200 ;           3 ;             0 ;           0 ;         15.654248 ;        8.184093 ;       8.181821 ; 15.654321 ;    5.518069
          200 ;           3 ;             0 ;           0 ;         13.464460 ;       12.203448 ;      12.197518 ; 13.464516 ;   10.760306
          200 ;           3 ;             0 ;           0 ;         10.151129 ;        8.177618 ;       8.174832 ; 10.151168 ;    5.521214
          200 ;           3 ;             0 ;           0 ;         14.440492 ;        8.182088 ;       8.179825 ; 14.440521 ;    5.522657
          200 ;           3 ;             0 ;           0 ;         10.080754 ;        8.173011 ;       8.169646 ; 10.080780 ;    5.518075
          200 ;           3 ;             0 ;           0 ;         10.080408 ;        8.175277 ;       8.172191 ; 10.080424 ;    5.516826
          200 ;           3 ;             0 ;           0 ;         12.817214 ;        8.191286 ;       8.189053 ; 12.817241 ;    5.516574
          200 ;           3 ;             0 ;           0 ;         12.555360 ;        8.502316 ;       8.499643 ; 12.555384 ;    5.504472
          200 ;           3 ;             0 ;           0 ;         12.245430 ;        8.183263 ;       8.181027 ; 12.245490 ;    5.516604
          200 ;           3 ;             0 ;           0 ;         11.930534 ;        8.198012 ;       8.195757 ; 11.930620 ;    5.521426
          200 ;           3 ;             0 ;           0 ;         11.573899 ;       11.261628 ;      11.254261 ; 11.573965 ;    5.509189
          200 ;           3 ;             0 ;           0 ;          8.301679 ;        7.383796 ;       7.377731 ;  8.301696 ;    5.514953
          200 ;           3 ;             0 ;           0 ;         10.075557 ;        8.164665 ;       8.161814 ; 10.075585 ;    5.518754
          200 ;           3 ;             0 ;           0 ;         12.245559 ;        8.183340 ;       8.181094 ; 12.245651 ;    5.519810
          200 ;           3 ;             0 ;           0 ;         12.457771 ;        8.197612 ;       8.195438 ; 12.457810 ;    5.512217
          200 ;           3 ;             0 ;           0 ;         12.270275 ;        8.185733 ;       8.183475 ; 12.270333 ;    5.520535
          000 ;           0 ;             0 ;           0 ;          0.000000 ;        0.000000 ;       0.000000 ;  9.783573 ;    0.000000
          200 ;           3 ;             0 ;           0 ;         12.818279 ;        8.189282 ;       8.186991 ; 12.818291 ;    5.515396
          000 ;           0 ;             0 ;           0 ;          0.000000 ;        0.000000 ;       0.000000 ; 15.316853 ;    5.515376
          200 ;           3 ;             0 ;           0 ;         10.023652 ;        8.163297 ;       8.160218 ; 10.023670 ;    5.510886
          200 ;           3 ;             0 ;           0 ;         13.401807 ;       13.023843 ;      13.020146 ; 13.401845 ;    5.512215
          200 ;           3 ;             0 ;           0 ;         10.092504 ;        8.204397 ;       8.202430 ; 10.092536 ;    5.510308
          200 ;           3 ;             0 ;           0 ;         12.165056 ;        8.144863 ;       8.140765 ; 12.165119 ;    5.507104
          200 ;           3 ;             0 ;           0 ;         12.492754 ;        8.183658 ;       8.181471 ; 12.492800 ;    5.506106
          200 ;           3 ;             0 ;           0 ;         11.403257 ;       10.019137 ;      10.015563 ; 11.403308 ;    5.509550
          200 ;           3 ;             0 ;           0 ;         12.254289 ;        8.171835 ;       8.169574 ; 12.254339 ;    5.503619
          200 ;           3 ;             0 ;           0 ;         12.498237 ;        8.165507 ;       8.163223 ; 12.498270 ;    5.506099
          000 ;           0 ;             0 ;           0 ;          0.000000 ;        0.000000 ;       0.000000 ;  9.783283 ;    0.000000
          200 ;           3 ;             0 ;           0 ;         12.165756 ;        8.189072 ;       8.187102 ; 12.165779 ;    5.505993
          200 ;           3 ;             0 ;           0 ;         12.504096 ;        8.190396 ;       8.188433 ; 12.504121 ;    5.504085
