response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect
 200;3;11;0;0.354344;0.245915;0.242815;0.354442;0.000000
 200;3;30;0;0.128950;0.087874;0.084764;0.129077;0.000000
 200;3;21;0;0.189058;0.094028;0.089660;0.189200;0.000000
 200;3;21;0;0.182858;0.090659;0.085979;0.182961;0.000000
 200;3;27;0;0.145376;0.099794;0.095371;0.145474;0.000000
 200;3;21;0;0.187481;0.094928;0.090312;0.187605;0.000000
 200;3;22;0;0.179999;0.089825;0.085407;0.180166;0.000000
 200;3;21;0;0.185313;0.090685;0.086082;0.185485;0.000000
 200;3;22;0;0.180008;0.087840;0.083191;0.180139;0.000000
 200;3;21;0;0.183307;0.091233;0.086519;0.183437;0.000000
 200;3;24;0;0.162782;0.119733;0.115373;0.162946;0.000000
 200;3;18;0;0.219507;0.122544;0.117833;0.219640;0.000000
 200;3;21;0;0.187408;0.094693;0.090406;0.187545;0.000000
 200;3;27;0;0.144018;0.092484;0.088220;0.144119;0.000000
 200;3;21;0;0.184173;0.092563;0.088275;0.184314;0.000000
 200;3;20;0;0.196106;0.105550;0.101621;0.196193;0.000000
 200;3;21;0;0.184308;0.095583;0.091303;0.184444;0.000000
 200;3;22;0;0.180683;0.089489;0.084792;0.180825;0.000000
 200;3;21;0;0.181735;0.090918;0.086414;0.181867;0.000000
 200;3;21;0;0.182928;0.093783;0.089173;0.183038;0.000000
 200;3;30;0;0.131626;0.089569;0.085202;0.131737;0.000000
 200;3;21;0;0.190273;0.093648;0.089109;0.190409;0.000000
 200;3;31;0;0.128713;0.090472;0.085783;0.128818;0.000000
 200;3;22;0;0.181572;0.092266;0.087590;0.181689;0.000000
 200;3;21;0;0.186098;0.093890;0.089372;0.186228;0.000000
 200;3;22;0;0.177977;0.088792;0.084307;0.178109;0.000000
 200;3;19;0;0.200340;0.105546;0.101190;0.200531;0.000000
 200;3;21;0;0.183280;0.088549;0.084063;0.183412;0.000000
 200;3;20;0;0.193236;0.100610;0.096349;0.193375;0.000000
 200;3;21;0;0.185284;0.091992;0.087282;0.185392;0.000000
 200;3;21;0;0.181986;0.088723;0.083764;0.182109;0.000000
 200;3;26;0;0.152282;0.112668;0.108300;0.152402;0.000000
 200;3;20;0;0.193535;0.099245;0.094902;0.193672;0.000000
 200;3;21;0;0.184234;0.093130;0.088870;0.184354;0.000000
 200;3;21;0;0.184056;0.090248;0.085659;0.184186;0.000000
 200;3;21;0;0.181799;0.090075;0.085470;0.181931;0.000000
 200;3;19;0;0.200124;0.093601;0.089159;0.200248;0.000000
 200;3;21;0;0.183926;0.094115;0.089608;0.184113;0.000000
 200;3;21;0;0.181967;0.090083;0.085402;0.182118;0.000000
 200;3;20;0;0.193020;0.100143;0.095904;0.193178;0.000000
 200;3;21;0;0.188583;0.097035;0.092192;0.188688;0.000000
 200;3;21;0;0.182758;0.091926;0.087367;0.182912;0.000000
 200;3;20;0;0.190364;0.096709;0.092415;0.190503;0.000000
 200;3;22;0;0.181071;0.091124;0.086933;0.181204;0.000000
 200;3;20;0;0.194800;0.093946;0.089135;0.194935;0.000000
 200;3;29;0;0.134555;0.094241;0.089382;0.134662;0.000000
 200;3;29;0;0.135865;0.093003;0.088818;0.135975;0.000000
 200;3;21;0;0.182980;0.089012;0.084747;0.183092;0.000000
 200;3;21;0;0.186035;0.094972;0.090313;0.186156;0.000000
 200;3;22;0;0.180364;0.090589;0.085583;0.180486;0.000000
 200;3;20;0;0.195799;0.097834;0.093379;0.195949;0.000000
 200;3;21;0;0.186479;0.093519;0.088646;0.186637;0.000000
 200;3;20;0;0.192776;0.102919;0.098726;0.192899;0.000000
 200;3;18;0;0.221443;0.131427;0.127937;0.221510;0.000000
 200;3;22;0;0.180201;0.088476;0.085137;0.180307;0.000000
 200;3;21;0;0.181950;0.089177;0.084721;0.182176;0.000000
 200;3;20;0;0.197147;0.085024;0.080265;0.197266;0.000000
 200;3;29;0;0.133493;0.094980;0.090688;0.133594;0.000000
 200;3;17;0;0.233805;0.140538;0.136184;0.233946;0.000000
 200;3;20;0;0.190902;0.089919;0.085075;0.191104;0.000000
 200;3;21;0;0.188228;0.096654;0.092108;0.188340;0.000000
 200;3;27;0;0.146686;0.090261;0.087535;0.146832;0.000000
 200;3;32;0;0.122326;0.089524;0.084809;0.122435;0.000000
 200;3;30;0;0.132184;0.094188;0.090402;0.132359;0.000000
 200;3;21;0;0.185405;0.094947;0.090759;0.185522;0.000000
 200;3;21;0;0.182763;0.090928;0.086471;0.182873;0.000000
 200;3;21;0;0.189641;0.094493;0.089929;0.189778;0.000000
 200;3;22;0;0.176854;0.087581;0.083244;0.176989;0.000000
 200;3;20;0;0.190549;0.096270;0.091501;0.190720;0.000000
 200;3;21;0;0.183506;0.089774;0.085418;0.183634;0.000000
 200;3;21;0;0.187553;0.098226;0.093619;0.187661;0.000000
 200;3;27;0;0.142799;0.093951;0.088822;0.142979;0.000000
 200;3;20;0;0.198689;0.092444;0.087614;0.198830;0.000000
 200;3;28;0;0.138203;0.093917;0.089511;0.138334;0.000000
 200;3;26;0;0.150074;0.095999;0.091650;0.150202;0.000000
 200;3;20;0;0.192969;0.091731;0.087167;0.193114;0.000000
 200;3;21;0;0.185502;0.094356;0.089766;0.185655;0.000000
 200;3;20;0;0.194116;0.100798;0.096451;0.194286;0.000000
 200;3;20;0;0.190534;0.098075;0.093886;0.190675;0.000000
 200;3;28;0;0.140328;0.098874;0.096174;0.140431;0.000000
 200;3;21;0;0.186465;0.094177;0.091522;0.186581;0.000000
 200;3;20;0;0.192105;0.100978;0.096112;0.192240;0.000000
 200;3;21;0;0.188345;0.091823;0.087125;0.188446;0.000000
 200;3;27;0;0.144962;0.101739;0.097116;0.145118;0.000000
 200;3;20;0;0.194915;0.100044;0.095251;0.195040;0.000000
 200;3;21;0;0.183689;0.091413;0.086965;0.183816;0.000000
 200;3;20;0;0.198393;0.099294;0.094984;0.198517;0.000000
 200;3;21;0;0.186334;0.095425;0.092116;0.186462;0.000000
 200;3;20;0;0.192805;0.103358;0.098497;0.192917;0.000000
 200;3;21;0;0.188497;0.094702;0.089875;0.188640;0.000000
 200;3;20;0;0.190453;0.095296;0.092611;0.190598;0.000000
 200;3;22;0;0.180175;0.089808;0.085360;0.180278;0.000000
 200;3;21;0;0.185970;0.093316;0.088488;0.186081;0.000000
 200;3;22;0;0.180992;0.091158;0.087137;0.181113;0.000000
 200;3;20;0;0.192942;0.098292;0.093966;0.193059;0.000000
 200;3;21;0;0.185687;0.092502;0.089001;0.185822;0.000000
 200;3;17;0;0.225860;0.133119;0.128596;0.226099;0.000000
 200;3;21;0;0.187443;0.094924;0.090240;0.187573;0.000000
 200;3;20;0;0.195499;0.100689;0.095866;0.195638;0.000000
 200;3;22;0;0.181262;0.091641;0.086900;0.181391;0.000000
 200;3;27;0;0.146659;0.096124;0.091689;0.146759;0.000000
 200;3;29;0;0.137160;0.095776;0.091150;0.137343;0.000000
 200;3;26;0;0.151405;0.109662;0.104845;0.151584;0.000000
 200;3;27;0;0.147848;0.100590;0.096139;0.147971;0.000000
 200;3;17;0;0.227525;0.128204;0.123481;0.227696;0.000000
 200;3;22;0;0.179816;0.087004;0.084529;0.179863;0.000000
 200;3;19;0;0.209446;0.084313;0.082587;0.209552;0.000000
 200;3;21;0;0.183268;0.090105;0.087817;0.183381;0.000000
 200;3;20;0;0.191025;0.099112;0.095198;0.191141;0.000000
 200;3;31;0;0.126556;0.088412;0.083916;0.126660;0.000000
 200;3;21;0;0.190234;0.092024;0.087566;0.190368;0.000000
 200;3;22;0;0.180526;0.089360;0.086030;0.180653;0.000000
 200;3;20;0;0.194169;0.099844;0.097523;0.194295;0.000000
 200;3;30;0;0.130857;0.093739;0.088844;0.130959;0.000000
 200;3;17;0;0.233666;0.132921;0.131508;0.233719;0.000000
 200;3;22;0;0.178838;0.081160;0.078931;0.178948;0.000000
 200;3;20;0;0.191301;0.099940;0.096015;0.191411;0.000000
 200;3;21;0;0.183846;0.093464;0.088891;0.183979;0.000000
 200;3;20;0;0.197264;0.102096;0.097665;0.197399;0.000000
 200;3;18;0;0.220577;0.167513;0.162954;0.220770;0.000000
 200;3;20;0;0.191688;0.097215;0.092386;0.191823;0.000000
 200;3;28;0;0.139530;0.098074;0.094500;0.139664;0.000000
 200;3;29;0;0.135022;0.094601;0.090273;0.135151;0.000000
 200;3;20;0;0.190505;0.096645;0.092111;0.190641;0.000000
 200;3;18;0;0.220124;0.112301;0.107946;0.220223;0.000000
 200;3;20;0;0.197820;0.105458;0.100847;0.197907;0.000000
 200;3;22;0;0.181138;0.091058;0.086591;0.181246;0.000000
 200;3;21;0;0.186389;0.092842;0.088629;0.186542;0.000000
 200;3;21;0;0.185903;0.093565;0.088992;0.186022;0.000000
 200;3;22;0;0.180961;0.093685;0.089344;0.180994;0.000000
 200;3;21;0;0.183439;0.086826;0.082368;0.183561;0.000000
 200;3;22;0;0.178641;0.087479;0.082684;0.178763;0.000000
 200;3;21;0;0.186059;0.093634;0.089393;0.186165;0.000000
 200;3;22;0;0.180113;0.085415;0.082660;0.180224;0.000000
 200;3;24;0;0.163402;0.111535;0.108844;0.163588;0.000000
 200;3;20;0;0.191231;0.092989;0.088731;0.191363;0.000000
 200;3;21;0;0.181881;0.090839;0.086499;0.182025;0.000000
 200;3;20;0;0.198031;0.097406;0.093106;0.198228;0.000000
 200;3;21;0;0.186887;0.093994;0.089266;0.187022;0.000000
 200;3;21;0;0.189407;0.091775;0.087060;0.189536;0.000000
 200;3;21;0;0.183137;0.089058;0.084111;0.183276;0.000000
 200;3;21;0;0.189767;0.095017;0.090673;0.189895;0.000000
 200;3;30;0;0.132044;0.093194;0.089523;0.132180;0.000000
 200;3;21;0;0.186904;0.092497;0.087788;0.187051;0.000000
 200;3;21;0;0.182151;0.092458;0.088127;0.182275;0.000000
 200;3;20;0;0.193516;0.094176;0.089937;0.193634;0.000000
 200;3;21;0;0.183520;0.093263;0.088893;0.183637;0.000000
 200;3;21;0;0.185653;0.092882;0.088397;0.185770;0.000000
 200;3;20;0;0.193471;0.092512;0.088245;0.193611;0.000000
 200;3;21;0;0.183495;0.090369;0.086013;0.183602;0.000000
 200;3;21;0;0.183686;0.091271;0.086420;0.183905;0.000000
 200;3;28;0;0.140390;0.093148;0.088597;0.140492;0.000000
 200;3;30;0;0.132716;0.091468;0.086760;0.132865;0.000000
 200;3;21;0;0.189635;0.096655;0.092117;0.189763;0.000000
 200;3;20;0;0.198296;0.105067;0.100747;0.198404;0.000000
 200;3;29;0;0.133816;0.095904;0.091528;0.133912;0.000000
 200;3;21;0;0.184517;0.097816;0.093363;0.184637;0.000000
 200;3;21;0;0.183219;0.092032;0.087732;0.183346;0.000000
