response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect
 200;2;41;1813152;0.089391;0.089354;0.089238;0.578423;0.049962
 200;2;34;1521370;0.086322;0.086214;0.085781;0.689358;0.040795
 200;2;44;1924897;0.086196;0.086071;0.085787;0.544844;0.039097
 200;2;42;1856205;0.094978;0.094859;0.094445;0.565007;0.039387
 200;2;42;1862154;0.088250;0.088047;0.087376;0.563202;0.041780
 200;2;19;841878;0.087770;0.087692;0.087461;1.245749;0.041186
 200;2;42;1868088;0.087759;0.087638;0.087187;0.561413;0.041104
 200;2;26;1175711;0.088345;0.088188;0.087769;0.892029;0.040174
 200;2;25;1095491;0.100302;0.100176;0.099695;0.957350;0.039574
 200;2;43;1908042;0.086936;0.086829;0.086515;0.549657;0.040635
 200;2;24;1088568;0.094883;0.094740;0.094290;0.963439;0.045413
 200;2;25;1097826;0.089205;0.089094;0.088815;0.955314;0.041705
 200;2;38;1683765;0.092815;0.092690;0.092243;0.622871;0.038915
 200;2;24;1052584;0.090884;0.090793;0.090525;0.996375;0.039000
 200;2;39;1722204;0.099784;0.099640;0.099290;0.608969;0.046488
 200;2;41;1792755;0.098276;0.098099;0.097693;0.585004;0.042254
 200;2;42;1838723;0.099876;0.099666;0.098781;0.570379;0.048495
 200;2;36;1583245;0.085186;0.085080;0.084760;0.662417;0.039429
 200;2;42;1875615;0.086431;0.086296;0.085838;0.559160;0.038167
 200;2;41;1832522;0.087005;0.086931;0.086682;0.572309;0.040954
 200;2;27;1182843;0.094904;0.094731;0.094280;0.886651;0.042422
 200;2;39;1724869;0.088135;0.088020;0.087708;0.608028;0.039463
 200;2;41;1794101;0.089093;0.088984;0.088587;0.584565;0.042007
 200;2;26;1174975;0.088518;0.088420;0.088160;0.892588;0.040760
 200;2;45;1984617;0.084656;0.084541;0.084189;0.528449;0.038268
 200;2;26;1153059;0.090918;0.090718;0.090076;0.909553;0.039949
 200;2;25;1100964;0.130053;0.129918;0.129516;0.952591;0.074818
 200;2;41;1802417;0.098324;0.098218;0.097703;0.581868;0.042584
 200;2;38;1682850;0.092360;0.092078;0.091044;0.623210;0.040443
 200;2;40;1786415;0.095216;0.095102;0.094720;0.587080;0.038506
 200;2;29;1297865;0.091928;0.091812;0.091421;0.808072;0.043769
 200;2;44;1948113;0.088568;0.088442;0.088053;0.538351;0.042405
 200;2;41;1820204;0.090224;0.090004;0.089393;0.576182;0.039484
 200;2;26;1176289;0.088923;0.088807;0.088488;0.891591;0.039323
 200;2;26;1173404;0.082256;0.082140;0.081824;0.893783;0.036899
 200;2;42;1875115;0.090705;0.090175;0.089277;0.559309;0.037468
 200;2;41;1792075;0.090446;0.090291;0.089983;0.585226;0.039980
 200;2;39;1736545;0.090239;0.090043;0.089691;0.603940;0.040782
 200;2;39;1725928;0.097966;0.097848;0.097523;0.607655;0.049993
 200;2;24;1067406;0.085065;0.084970;0.084652;0.982539;0.039403
 200;2;25;1113009;0.088911;0.088752;0.088299;0.942282;0.040843
 200;2;27;1184543;0.089663;0.089544;0.089193;0.885378;0.040131
 200;2;41;1815434;0.087907;0.087688;0.087388;0.577696;0.041794
 200;2;36;1615620;0.093679;0.093557;0.093173;0.649143;0.039110
 200;2;39;1724262;0.086816;0.086655;0.086068;0.608242;0.038301
 200;2;27;1217292;0.083509;0.083412;0.083114;0.861559;0.037747
 200;2;23;1010513;0.090513;0.090373;0.089977;1.037857;0.037649
 200;2;38;1672664;0.115663;0.115518;0.115025;0.627005;0.046895
 200;2;26;1171598;0.095009;0.094858;0.094564;0.895161;0.040403
 200;2;40;1756158;0.094910;0.094803;0.094475;0.597195;0.043152
 200;2;39;1741620;0.092718;0.092513;0.091792;0.602180;0.042203
 200;2;25;1107506;0.088898;0.088755;0.088317;0.946964;0.039414
 200;2;46;2021314;0.089919;0.089765;0.089498;0.518855;0.042258
 200;2;41;1825142;0.094079;0.093949;0.093519;0.574623;0.040114
 200;2;26;1178212;0.087038;0.086829;0.086098;0.890136;0.040189
 200;2;42;1853217;0.093232;0.093112;0.092809;0.565918;0.039583
 200;2;43;1909338;0.089164;0.088904;0.088174;0.549284;0.041518
 200;2;42;1835774;0.090464;0.090350;0.090031;0.571295;0.040617
 200;2;42;1836433;0.093209;0.093006;0.092373;0.571090;0.042063
 200;2;21;935849;0.094059;0.093953;0.093602;1.120660;0.043697
 200;2;43;1897331;0.084566;0.084453;0.084062;0.552760;0.038573
 200;2;40;1773009;0.092393;0.092214;0.091822;0.591519;0.040801
 200;2;41;1800242;0.085333;0.085224;0.084910;0.582571;0.038205
 200;2;42;1861873;0.095989;0.095852;0.095395;0.563287;0.047505
 200;2;25;1128650;0.105184;0.105043;0.104596;0.929224;0.040353
 200;2;40;1771718;0.088749;0.088589;0.087799;0.591950;0.039064
 200;2;43;1887575;0.088068;0.087959;0.087631;0.555617;0.039845
