response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect
 200;2;4;176755;1.284733;1.284604;1.284393;5.933443;0.935195
 200;2;5;241526;0.929650;0.929515;0.929245;4.342259;0.582963
 200;2;5;236227;0.970749;0.970613;0.970350;4.439662;0.590665
 200;2;5;249311;0.911657;0.911565;0.911433;4.206664;0.573581
 200;2;6;271887;0.926264;0.926173;0.925907;3.857361;0.612639
 200;2;6;295854;0.915817;0.915701;0.915516;3.544887;0.567285
 200;2;5;243491;0.900845;0.900754;0.900611;4.307211;0.584867
 200;2;5;252375;0.883667;0.883467;0.883207;4.155594;0.578899
 200;2;5;254567;0.928314;0.928244;0.928155;4.119812;0.611397
 200;2;6;274094;0.920683;0.920602;0.920468;3.826300;0.606690
 200;2;6;265264;0.939104;0.938985;0.938753;3.953674;0.659892
 200;2;6;295923;0.855103;0.854976;0.854694;3.544053;0.525817
 200;2;3;169838;0.931937;0.931802;0.931537;6.175098;0.628915
 200;2;4;192598;0.850506;0.850311;0.850053;5.445354;0.524265
 200;2;4;183304;0.950107;0.949901;0.949642;5.721444;0.591412
 200;2;2;113362;6.227984;6.227866;6.227638;9.251480;5.863211
 200;2;3;137319;0.956414;0.956270;0.956026;7.637426;0.619775
 200;2;4;191611;0.924829;0.924699;0.924478;5.473403;0.584684
 200;2;5;244488;0.847065;0.846920;0.846651;4.289648;0.540529
 200;2;6;305774;0.826419;0.826329;0.826142;3.429876;0.496785
 200;2;6;267957;0.842513;0.842442;0.842297;3.913935;0.581913
 200;2;6;299266;0.855799;0.855693;0.855496;3.504468;0.589694
 200;2;6;286282;0.944631;0.944422;0.944171;3.663408;0.605834
 200;2;4;185740;0.978182;0.978043;0.977769;5.646409;0.614556
 200;2;5;219680;0.902841;0.902798;0.902736;4.774068;0.609207
 200;2;4;207559;0.850685;0.850550;0.850228;5.052866;0.538677
 200;2;4;185418;0.863754;0.863559;0.863296;5.656228;0.539143
 200;2;4;179520;0.866100;0.865957;0.865677;5.842072;0.558190
 200;2;4;177691;0.962243;0.962107;0.961881;5.902186;0.630173
 200;2;3;163293;0.909710;0.909628;0.909457;6.422605;0.578527
 200;2;3;164987;0.844383;0.844264;0.844070;6.356655;0.575990
 200;2;3;165741;0.905364;0.905265;0.905104;6.327735;0.567737
 200;2;4;181948;0.914367;0.914234;0.913989;5.764113;0.611313
 200;2;3;168008;0.898754;0.898666;0.898510;6.242341;0.572091
 200;2;4;183376;0.934109;0.933971;0.933744;5.719199;0.580883
 200;2;6;296831;0.907487;0.907369;0.907174;3.533212;0.543718
 200;2;6;292239;0.886621;0.886468;0.886142;3.588735;0.544875
 200;2;6;268339;0.878220;0.878115;0.877897;3.908362;0.576595
 200;2;4;180256;0.956370;0.956226;0.955880;5.818219;0.616201
 200;2;4;196357;0.894274;0.894162;0.893950;5.341127;0.546406
 200;2;2;91398;8.552292;8.552185;8.551949;11.474729;5.812163
 200;2;5;249499;0.906184;0.906026;0.905731;4.203498;0.592575
 200;2;4;201662;0.939367;0.939292;0.939156;5.200610;0.589970
 200;2;5;220077;0.898108;0.898011;0.897850;4.765454;0.549372
 200;2;4;186882;0.903877;0.903801;0.903668;5.611924;0.574205
 200;2;6;268944;0.933597;0.933441;0.933108;3.899574;0.572271
 200;2;6;264818;0.924298;0.924157;0.923889;3.960328;0.580763
 200;2;2;113791;6.155970;6.155830;6.155568;9.216548;5.789811
 200;2;5;258711;0.858069;0.857993;0.857873;4.053817;0.593262
 200;2;3;148662;1.950665;1.950563;1.950387;7.054699;1.595147
 200;2;5;221483;1.897419;1.897278;1.897027;4.735191;1.535169
 200;2;4;211932;0.934193;0.934082;0.933846;4.948588;0.641881
 200;2;6;302961;0.813548;0.813488;0.813391;3.461719;0.525431
 200;2;3;169279;0.976207;0.976011;0.975742;6.195491;0.622271
 200;2;6;288215;0.938803;0.938668;0.938419;3.638831;0.595458
 200;2;3;160041;0.834584;0.834447;0.834180;6.553100;0.551405
 200;2;6;271682;0.925224;0.925026;0.924772;3.860272;0.611865
 200;2;2;113192;6.211657;6.211474;6.211215;9.265330;5.904172
 200;2;3;152399;0.985135;0.984976;0.984718;6.881723;0.646584
 200;2;1;81856;6.152891;6.152750;6.152470;12.812320;5.831507
 200;2;4;210288;0.926406;0.926251;0.925993;4.987288;0.592787
 200;2;6;263539;0.894566;0.894456;0.894215;3.979552;0.554878
 200;2;4;180107;0.850343;0.850243;0.850035;5.823001;0.555535
 200;2;5;243973;0.856715;0.856568;0.856223;4.298695;0.540526
 200;2;5;261666;0.895904;0.895786;0.895555;4.008040;0.562555
 200;2;6;300700;0.898764;0.898606;0.898314;3.487757;0.535505
 200;2;6;287062;0.949432;0.949284;0.949018;3.653448;0.636073
 200;2;2;110732;6.141273;6.141137;6.140834;9.471168;5.778569
 200;2;6;266735;0.918097;0.917927;0.917661;3.931871;0.647635
 200;2;3;160276;3.441049;3.440820;3.440611;6.543479;0.596117
 200;2;5;261309;0.859325;0.859198;0.858922;4.013507;0.565797
 200;2;6;295225;0.916020;0.915913;0.915681;3.552430;0.557733
 200;2;1;71858;11.156636;11.156479;11.156127;14.594835;10.799590
 200;2;2;108277;0.911027;0.910887;0.910628;9.685912;0.539484
 200;2;4;203265;0.923234;0.923093;0.922824;5.159600;0.594648
 200;2;5;221085;0.938841;0.938744;0.938479;4.743735;0.594972
 200;2;2;114814;6.174036;6.173888;6.173634;9.134475;5.848292
 200;2;5;257553;0.891403;0.891260;0.890989;4.072039;0.599136
 200;2;4;213507;0.867220;0.867071;0.866789;4.912089;0.567520
 200;2;6;279801;0.844985;0.844872;0.844617;3.748266;0.561607
 200;2;6;285402;1.000809;1.000665;1.000411;3.674702;0.653466
 200;2;4;201989;0.818734;0.818631;0.818392;5.192206;0.536499
 200;2;2;110115;6.207014;6.206865;6.206569;9.524247;5.845674
 200;2;3;157018;3.570446;3.570301;3.570084;6.679256;0.629622
 200;2;6;265733;0.881481;0.881340;0.881069;3.946702;0.572263
 200;2;3;163196;3.359973;3.359851;3.359676;6.426400;0.622967
 200;2;4;213324;0.898405;0.898267;0.898000;4.916318;0.552616
 200;2;5;225304;1.973384;1.973294;1.973145;4.654890;1.655093
 200;2;6;298031;0.904978;0.904827;0.904541;3.518991;0.553323
 200;2;6;273184;0.828860;0.828668;0.828419;3.839053;0.520226
 200;2;1;85733;9.250428;9.250321;9.250125;12.232876;0.577911
 200;2;6;291226;0.936398;0.936246;0.935974;3.601218;0.586251
 200;2;5;242178;0.969001;0.968835;0.968581;4.330570;0.593653
 200;2;4;183786;0.946821;0.946679;0.946404;5.706445;0.596559
 200;2;3;151228;0.872931;0.872792;0.872545;6.935015;0.540022
 200;2;6;273644;0.926223;0.926077;0.925789;3.832591;0.630819
 200;2;2;121680;3.172278;3.172180;3.171999;8.619031;0.563156
