response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect
 200;2;8;3364937;3.116154;0.078245;0.078145;3.116244;0.039755
 200;2;7;3170906;3.306774;0.083253;0.082022;3.306930;0.039645
 200;2;6;2889393;3.629067;0.085487;0.084938;3.629123;0.040765
 200;2;7;3149954;3.328796;0.077690;0.077494;3.328926;0.034197
 200;2;7;3210383;3.266088;0.085840;0.085187;3.266266;0.043391
 200;2;6;2518563;4.163351;0.082906;0.082478;4.163471;0.042412
 200;2;6;2771405;3.783494;0.087908;0.087349;3.783628;0.040328
 200;2;6;2636998;3.976350;0.080596;0.079859;3.976478;0.038595
 200;2;7;3243467;3.232795;0.088433;0.087624;3.232949;0.044734
 200;2;5;2279569;4.599846;0.082307;0.081895;4.599977;0.042449
