response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect;size_download;iteration;fileName
200;2;12623;0;1.526230;1.218143;1.217998;1.558498;0.788880;19673;0;/public/
200;2;308;0;1.515063;1.184161;1.184036;1.515366;0.653554;468;0;/public/script1.js
200;2;24163;0;2.848434;1.202610;1.202511;3.194302;0.672848;77184;0;/public/script2.js
200;2;16093;0;1.566183;1.229026;1.228916;1.598621;0.661448;25728;0;/public/script3.js
200;2;1119;0;7.661200;7.338023;7.337821;7.662844;6.916158;8576;0;/public/script4.js
200;2;3393;0;2.842230;1.227328;1.227251;2.843216;0.672158;9649;0;/public/script5.js
200;2;6019;0;1.576171;1.239029;1.238935;1.603044;0.664245;9649;0;/public/script6.js
200;2;362;0;7.386318;6.229333;6.229219;7.387455;5.881370;2680;0;/public/script7.js
200;2;3089;0;1.561443;1.225149;1.224948;1.561536;0.647356;4824;0;/public/script8.js
200;2;6094;0;1.547209;1.213147;1.213016;1.583054;0.659645;9648;0;/public/script9.js
200;2;1222;0;6.574623;6.253542;6.253419;6.576211;5.894419;8040;0;/public/script10.js
200;2;1404;0;1.525901;1.203248;1.203126;1.526040;0.635422;2144;0;/public/script11.js
200;2;4292;0;1.498155;1.190826;1.190677;1.498305;0.631567;6432;0;/public/script12.js
200;2;2080;0;1.545872;1.202294;1.202209;1.546047;0.643976;3216;0;/public/script13.js
200;2;3453;0;1.551737;1.212814;1.212695;1.551912;0.649701;5360;0;/public/script14.js
200;2;2424;0;1.547347;1.210328;1.210200;1.547460;0.626914;3752;0;/public/script15.js
200;2;2761;0;1.546756;1.209663;1.209567;1.546851;0.638240;4271;0;/public/style1.css
200;2;309;0;1.387662;1.062534;1.062388;1.387870;0.648200;430;0;/public/style2.css
200;2;1434;0;1.490749;1.162718;1.162580;1.490887;0.634259;2139;0;/public/style3.css
200;2;349;0;7.650278;6.038029;6.037947;7.652247;5.616874;2672;0;/public/style4.css
200;2;2529;0;1.477353;1.145119;1.145000;1.477585;0.635862;3738;0;/public/style5.css
200;2;698;0;1.536156;1.192155;1.191909;1.536236;0.654340;1073;0;/public/style6.css
200;2;3036;0;6.438967;6.138672;6.138417;6.478550;5.789296;19673;1;/public/
200;2;336;0;1.391555;1.068410;1.068248;1.391702;0.596692;468;1;/public/script1.js
200;2;43000;0;1.477369;1.140265;1.140145;1.794967;0.604965;77184;1;/public/script2.js
200;2;18278;0;1.370838;1.039845;1.039639;1.407555;0.588084;25728;1;/public/script3.js
200;2;5143;0;1.667153;1.066397;1.066243;1.667445;0.603918;8576;1;/public/script4.js
200;2;1477;0;6.532195;6.197162;6.196936;6.532453;5.810066;9649;1;/public/script5.js
200;2;3555;0;2.710636;1.141048;1.140888;2.713990;0.647165;9649;1;/public/script6.js
200;2;1840;0;1.456055;1.121615;1.121519;1.456129;0.639594;2680;1;/public/script7.js
200;2;3390;0;1.422875;1.092314;1.092194;1.422986;0.629421;4824;1;/public/script8.js
200;2;1495;0;6.447884;6.120417;6.120181;6.449683;5.763374;9648;1;/public/script9.js
200;2;5426;0;1.479510;1.135147;1.135060;1.481576;0.632803;8040;1;/public/script10.js
200;2;198;0;10.787072;9.276671;9.276459;10.787262;8.929282;2144;1;/public/script11.js
200;2;4441;0;1.448068;1.112459;1.112351;1.448254;0.636910;6432;1;/public/script12.js
200;2;1230;0;2.611891;1.110804;1.110682;2.614511;0.642309;3216;1;/public/script13.js
200;2;1970;0;2.717087;1.113020;1.112925;2.719971;0.643822;5360;1;/public/script14.js
200;2;1377;0;2.717863;1.080075;1.079901;2.722963;0.642600;3752;1;/public/script15.js
200;2;2908;0;1.468259;1.122285;1.122179;1.468341;0.641123;4271;1;/public/style1.css
200;2;294;0;1.459782;1.115452;1.115361;1.459932;0.643225;430;1;/public/style2.css
200;2;1541;0;1.386941;1.059429;1.059295;1.387529;0.630022;2139;1;/public/style3.css
200;2;1900;0;1.405817;1.093080;1.092962;1.405979;0.634825;2672;1;/public/style4.css
200;2;2702;0;1.381753;1.057732;1.057517;1.383041;0.633638;3738;1;/public/style5.css
200;2;749;0;1.432276;1.097275;1.097137;1.432422;0.630802;1073;1;/public/style6.css
200;2;14154;0;1.355517;1.040294;1.040162;1.389877;0.601934;19673;2;/public/
200;2;390;0;1.199246;0.884569;0.884496;1.199549;0.519619;468;2;/public/script1.js
200;2;11252;0;6.545351;6.209402;6.209139;6.859022;5.851083;77184;2;/public/script2.js
200;2;19524;0;1.281240;0.961651;0.961543;1.317697;0.573489;25728;2;/public/script3.js
200;2;5910;0;1.448319;1.115067;1.114984;1.450957;0.639841;8576;2;/public/script4.js
200;2;3826;0;2.515658;0.977223;0.977124;2.521610;0.624420;9649;2;/public/script5.js
200;2;6638;0;1.422702;1.083275;1.083169;1.453451;0.625389;9649;2;/public/script6.js
200;2;705;0;3.799427;2.192995;2.192804;3.799764;0.627792;2680;2;/public/script7.js
200;2;1830;0;2.633468;1.095427;1.095333;2.634640;0.621301;4824;2;/public/script8.js
200;2;3350;0;2.877841;2.284647;2.284459;2.879479;0.625352;9648;2;/public/script9.js
200;2;5785;0;1.389080;1.055688;1.055488;1.389778;0.632347;8040;2;/public/script10.js
200;2;325;0;6.592641;6.275121;6.274911;6.592814;5.871517;2144;2;/public/script11.js
200;2;4555;0;1.411840;1.072093;1.072010;1.411966;0.628526;6432;2;/public/script12.js
200;2;1880;0;1.710384;1.096295;1.096173;1.710462;0.634889;3216;2;/public/script13.js
200;2;3874;0;1.382214;1.055857;1.055759;1.383510;0.629425;5360;2;/public/script14.js
200;2;2652;0;1.414648;1.087443;1.087346;1.414767;0.614874;3752;2;/public/script15.js
200;2;1782;0;2.396324;2.064977;2.064703;2.396578;1.658794;4271;2;/public/style1.css
200;2;72;0;5.963585;5.410241;5.410048;5.963624;1.656927;430;2;/public/style2.css
200;2;1540;0;1.386082;1.057004;1.056873;1.388875;0.620750;2139;2;/public/style3.css
200;2;406;0;6.566488;6.246358;6.246105;6.566624;5.857480;2672;2;/public/style4.css
200;2;2633;0;1.419468;1.086241;1.086158;1.419558;0.662610;3738;2;/public/style5.css
200;2;780;0;1.375271;1.042625;1.042494;1.375371;0.617827;1073;2;/public/style6.css
200;2;14702;0;1.296054;0.965610;0.965404;1.338067;0.597906;19673;3;/public/
200;2;350;0;1.334443;1.006824;1.006653;1.334708;0.567711;468;3;/public/script1.js
200;2;36580;0;1.803134;1.176861;1.176725;2.109986;0.651900;77184;3;/public/script2.js
200;2;3883;0;6.584606;6.254376;6.254171;6.624645;5.856945;25728;3;/public/script3.js
200;2;6373;0;1.344750;1.011510;1.011405;1.345640;0.588863;8576;3;/public/script4.js
200;2;6258;0;1.508685;1.170290;1.170178;1.541703;0.647472;9649;3;/public/script5.js
200;2;6836;0;1.384447;1.061543;1.061369;1.411305;0.593358;9649;3;/public/script6.js
200;2;1770;0;1.513453;1.175736;1.175640;1.513531;0.643148;2680;3;/public/script7.js
200;2;3464;0;1.390935;1.061271;1.061143;1.392356;0.591308;4824;3;/public/script8.js
200;2;6243;0;1.510692;1.175887;1.175801;1.545289;0.639376;9648;3;/public/script9.js
200;2;2881;0;2.788412;2.256683;2.256544;2.789748;0.643361;8040;3;/public/script10.js
200;2;1427;0;1.501542;1.168458;1.168362;1.501624;0.631285;2144;3;/public/script11.js
200;2;4318;0;1.489335;1.155148;1.154990;1.489492;0.637587;6432;3;/public/script12.js
200;2;2188;0;1.469451;1.151654;1.151478;1.469577;0.626917;3216;3;/public/script13.js
200;2;3554;0;1.507845;1.168114;1.168026;1.507946;0.626065;5360;3;/public/script14.js
200;2;2102;0;1.784269;1.161835;1.161732;1.784397;0.625178;3752;3;/public/script15.js
200;2;2852;0;1.497336;1.155181;1.154977;1.497426;0.628080;4271;3;/public/style1.css
