response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect;size_download;iteration;fileName
200;3;144529;0;0.123555;0.087549;0.084450;0.136118;0.004191;19673;0;/public/
200;3;2518;0;0.185812;0.133893;0.131757;0.185846;0.011626;468;0;/public/script1.js
200;3;206179;0;0.157105;0.091297;0.089470;0.374353;0.006503;77184;0;/public/script2.js
200;3;152243;0;0.163811;0.091177;0.089341;0.168992;0.008156;25728;0;/public/script3.js
200;3;49360;0;0.171594;0.124410;0.122330;0.173743;0.007665;8576;0;/public/script4.js
200;3;43260;0;0.223008;0.125268;0.123236;0.223044;0.006557;9649;0;/public/script5.js
200;3;43877;0;0.219825;0.126108;0.123959;0.219910;0.007465;9649;0;/public/script6.js
200;3;10752;0;0.248307;0.133537;0.126915;0.249234;0.009635;2680;0;/public/script7.js
200;3;24697;0;0.190487;0.132242;0.130104;0.195322;0.012486;4824;0;/public/script8.js
200;3;54825;0;0.173860;0.122893;0.120786;0.175975;0.004766;9648;0;/public/script9.js
200;3;34159;0;0.235317;0.128994;0.124640;0.235367;0.007144;8040;0;/public/script10.js
200;3;11840;0;0.181039;0.122369;0.120202;0.181074;0.006161;2144;0;/public/script11.js
200;3;35833;0;0.179446;0.116406;0.114197;0.179495;0.004226;6432;0;/public/script12.js
200;3;18184;0;0.176820;0.117075;0.114287;0.176854;0.005660;3216;0;/public/script13.js
200;3;19448;0;0.275580;0.118309;0.116127;0.275604;0.005521;5360;0;/public/script14.js
200;3;13682;0;0.274187;0.116892;0.114762;0.274216;0.003672;3752;0;/public/script15.js
200;3;17874;0;0.238903;0.114631;0.112476;0.238945;0.003450;4271;0;/public/style1.css
200;3;2024;0;0.212307;0.113242;0.111036;0.212360;0.003682;430;0;/public/style2.css
200;3;9516;0;0.221174;0.111678;0.109101;0.224761;0.004139;2139;0;/public/style3.css
200;3;10964;0;0.243658;0.108912;0.107132;0.243690;0.002842;2672;0;/public/style4.css
200;3;14910;0;0.250667;0.126103;0.124054;0.250690;0.002695;3738;0;/public/style5.css
200;3;4799;0;0.223532;0.110957;0.109169;0.223563;0.002808;1073;0;/public/style6.css
200;3;140836;0;0.131783;0.094633;0.089654;0.139687;0.005074;19673;1;/public/
200;3;2026;0;0.230845;0.111635;0.109227;0.230888;0.018450;468;1;/public/script1.js
200;3;321328;0;0.191270;0.109992;0.107228;0.240203;0.015905;77184;1;/public/script2.js
200;3;128672;0;0.189714;0.112087;0.109839;0.199950;0.016258;25728;1;/public/script3.js
200;3;38046;0;0.225151;0.106165;0.103792;0.225410;0.015937;8576;1;/public/script4.js
200;3;43070;0;0.223446;0.104659;0.102260;0.224030;0.017152;9649;1;/public/script5.js
200;3;54365;0;0.172457;0.100726;0.098252;0.177485;0.012334;9649;1;/public/script6.js
200;3;12035;0;0.222623;0.098585;0.096323;0.222669;0.010524;2680;1;/public/script7.js
200;3;27209;0;0.174920;0.101672;0.099063;0.177293;0.006456;4824;1;/public/script8.js
200;3;49074;0;0.193524;0.098551;0.096216;0.196601;0.008763;9648;1;/public/script9.js
200;3;41446;0;0.176013;0.098881;0.096479;0.193984;0.010356;8040;1;/public/script10.js
200;3;10994;0;0.194958;0.094479;0.092103;0.195003;0.005245;2144;1;/public/script11.js
200;3;33408;0;0.192487;0.097996;0.095392;0.192527;0.008674;6432;1;/public/script12.js
200;3;9446;0;0.340375;0.096444;0.094373;0.340426;0.004884;3216;1;/public/script13.js
200;3;27955;0;0.191694;0.095492;0.093358;0.191735;0.006924;5360;1;/public/script14.js
200;3;22684;0;0.165368;0.091475;0.089119;0.165401;0.004935;3752;1;/public/script15.js
200;3;12598;0;0.319573;0.095062;0.093032;0.339019;0.003620;4271;1;/public/style1.css
200;3;1609;0;0.267078;0.110910;0.108581;0.267155;0.007316;430;1;/public/style2.css
200;3;7934;0;0.269515;0.128658;0.125887;0.269590;0.005757;2139;1;/public/style3.css
200;3;10027;0;0.266409;0.122683;0.119910;0.266463;0.003603;2672;1;/public/style4.css
200;3;20522;0;0.179260;0.120462;0.117674;0.182141;0.004118;3738;1;/public/style5.css
200;3;4028;0;0.266316;0.122945;0.119856;0.266355;0.003525;1073;1;/public/style6.css
200;3;109302;0;0.178592;0.092188;0.089248;0.179986;0.003748;19673;2;/public/
200;3;2417;0;0.193496;0.119635;0.115187;0.193587;0.017937;468;2;/public/script1.js
200;3;203898;0;0.172764;0.117091;0.114558;0.378542;0.018831;77184;2;/public/script2.js
200;3;144467;0;0.163591;0.109251;0.106823;0.178088;0.015862;25728;2;/public/script3.js
200;3;47340;0;0.181110;0.112529;0.109028;0.181156;0.015398;8576;2;/public/script4.js
200;3;49418;0;0.185419;0.108288;0.105917;0.195252;0.017824;9649;2;/public/script5.js
200;3;55239;0;0.163408;0.099056;0.096621;0.174675;0.006680;9649;2;/public/script6.js
200;3;14706;0;0.182186;0.111260;0.108559;0.182227;0.012149;2680;2;/public/script7.js
200;3;27618;0;0.171034;0.106372;0.103657;0.174667;0.006330;4824;2;/public/script8.js
200;3;44047;0;0.213111;0.107527;0.104868;0.219034;0.007665;9648;2;/public/script9.js
200;3;35746;0;0.221029;0.102703;0.100047;0.224918;0.008341;8040;2;/public/script10.js
200;3;10058;0;0.213115;0.101244;0.098466;0.213160;0.006276;2144;2;/public/script11.js
200;3;27759;0;0.226485;0.111471;0.108742;0.231706;0.005018;6432;2;/public/script12.js
200;3;18631;0;0.172577;0.085958;0.083712;0.172615;0.005561;3216;2;/public/script13.js
200;3;23949;0;0.220394;0.098370;0.095502;0.223805;0.006527;5360;2;/public/script14.js
200;3;15974;0;0.230430;0.111526;0.108586;0.234876;0.008691;3752;2;/public/script15.js
