response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect;iteration;fileName
 200;2;37297;0;0.125062;0.089363;0.089200;0.126953;0.049487;0;/public/
 200;2;2745;0;0.170420;0.085536;0.085462;0.170444;0.042260;0;/public/script1.js
 200;2;22824;0;0.207354;0.100950;0.100865;0.207456;0.046850;0;/public/script2.js
 200;2;22874;0;0.206967;0.100229;0.100155;0.207000;0.047298;0;/public/script3.js
 200;2;40985;0;0.209216;0.099547;0.099477;0.209244;0.046342;0;/public/script4.js
 200;2;22956;0;0.206229;0.099353;0.099291;0.206262;0.045763;0;/public/script5.js
 200;2;28500;0;0.163564;0.080520;0.080435;0.166137;0.040750;0;/public/script6.js
 200;2;12444;0;0.215330;0.148957;0.148848;0.215352;0.056553;0;/public/script7.js
 200;2;23377;0;0.206330;0.102965;0.102888;0.206351;0.048329;0;/public/script8.js
 200;2;22529;0;0.210144;0.141522;0.141438;0.210167;0.051695;0;/public/script9.js
 200;2;38227;0;0.210272;0.102609;0.102473;0.210319;0.048184;0;/public/script10.js
 200;2;10231;0;0.209529;0.140979;0.140889;0.209555;0.051147;0;/public/script11.js
 200;2;31373;0;0.204987;0.133036;0.132954;0.205012;0.051553;0;/public/script12.js
 200;2;15128;0;0.212514;0.150809;0.150639;0.212579;0.057543;0;/public/script13.js
 200;2;26507;0;0.202180;0.139897;0.139693;0.202205;0.049954;0;/public/script14.js
 200;2;17887;0;0.209730;0.146261;0.146168;0.209753;0.053415;0;/public/script15.js
 200;2;20363;0;0.209715;0.152153;0.152065;0.209738;0.056698;0;/public/style1.css
 200;2;2055;0;0.209132;0.148792;0.148700;0.209160;0.056004;0;/public/style2.css
 200;2;10236;0;0.208933;0.140246;0.140157;0.208964;0.050062;0;/public/style3.css
 200;2;12692;0;0.210503;0.139557;0.139462;0.210524;0.050187;0;/public/style4.css
 200;2;17877;0;0.209072;0.148963;0.148828;0.209093;0.055736;0;/public/style5.css
 200;2;5239;0;0.204784;0.147983;0.147890;0.204806;0.053628;0;/public/style6.css
 200;2;26173;0;0.178907;0.141032;0.140768;0.180911;0.052718;1;/public/
 200;2;2616;0;0.178821;0.117772;0.117685;0.178854;0.060968;1;/public/script1.js
 200;2;29421;0;0.160903;0.099523;0.099416;0.160938;0.052985;1;/public/script2.js
 200;2;32226;0;0.146902;0.101561;0.101472;0.146931;0.059624;1;/public/script3.js
 200;2;32719;0;0.144690;0.101181;0.101043;0.144715;0.057370;1;/public/script4.js
 200;2;55001;0;0.175404;0.122156;0.121974;0.175430;0.059840;1;/public/script5.js
 200;2;27000;0;0.175341;0.119790;0.119667;0.175368;0.061913;1;/public/script6.js
 200;2;15816;0;0.169417;0.115180;0.115082;0.169441;0.057066;1;/public/script7.js
 200;2;28565;0;0.168846;0.117930;0.117826;0.168876;0.057545;1;/public/script8.js
 200;2;52870;0;0.182463;0.138384;0.138252;0.182485;0.055799;1;/public/script9.js
 200;2;43486;0;0.184658;0.140499;0.140389;0.184885;0.061574;1;/public/script10.js
 200;2;12760;0;0.167991;0.116350;0.116216;0.168017;0.055395;1;/public/script11.js
 200;2;35341;0;0.181970;0.133339;0.133214;0.181996;0.058630;1;/public/script12.js
 200;2;15844;0;0.202943;0.152646;0.152488;0.202972;0.058781;1;/public/script13.js
 200;2;30215;0;0.177366;0.125795;0.125686;0.177395;0.050286;1;/public/script14.js
 200;2;23912;0;0.156882;0.106110;0.106007;0.156906;0.045596;1;/public/script15.js
 200;2;24493;0;0.174355;0.129314;0.129196;0.174376;0.054704;1;/public/style1.css
 200;2;2285;0;0.188125;0.138735;0.138622;0.188159;0.053224;1;/public/style2.css
 200;2;13039;0;0.162496;0.115190;0.115037;0.164036;0.045259;1;/public/style3.css
 200;2;14342;0;0.186264;0.135762;0.135648;0.186299;0.052369;1;/public/style4.css
 200;2;21515;0;0.173706;0.133404;0.133289;0.173732;0.057727;1;/public/style5.css
 200;2;6053;0;0.177206;0.133791;0.133661;0.177248;0.053039;1;/public/style6.css
 200;2;33069;0;0.140523;0.102760;0.102501;0.143183;0.055520;2;/public/
 200;2;2399;0;0.195007;0.102567;0.102481;0.195039;0.058316;2;/public/script1.js
 200;2;28735;0;0.162113;0.117992;0.117905;0.164779;0.064914;2;/public/script2.js
 200;2;25569;0;0.185152;0.096131;0.096010;0.185181;0.051749;2;/public/script3.js
 200;2;42355;0;0.195257;0.110058;0.109956;0.202475;0.060681;2;/public/script4.js
 200;2;57524;0;0.167704;0.122415;0.122306;0.167737;0.067096;2;/public/script5.js
 200;2;24806;0;0.190820;0.100067;0.099951;0.190877;0.054225;2;/public/script6.js
 200;2;16959;0;0.157997;0.112518;0.112390;0.158020;0.056686;2;/public/script7.js
 200;2;25302;0;0.190629;0.104305;0.104206;0.190654;0.054404;2;/public/script8.js
 200;2;38622;0;0.153275;0.105375;0.105257;0.153304;0.055979;2;/public/script9.js
 200;2;52689;0;0.152566;0.112044;0.111963;0.152593;0.055210;2;/public/script10.js
 200;2;11870;0;0.180593;0.087191;0.087043;0.180618;0.042853;2;/public/script11.js
 200;2;33390;0;0.177293;0.096085;0.095925;0.177324;0.044399;2;/public/script12.js
 200;2;21280;0;0.150829;0.107484;0.107313;0.151126;0.055264;2;/public/script13.js
 200;2;35833;0;0.149542;0.104472;0.104381;0.149581;0.050985;2;/public/script14.js
 200;2;15512;0;0.241825;0.155667;0.155444;0.241864;0.053681;2;/public/script15.js
 200;2;30337;0;0.140740;0.100159;0.100040;0.140784;0.047368;2;/public/style1.css
 200;2;1670;0;0.257370;0.160518;0.160290;0.257410;0.052627;2;/public/style2.css
 200;2;6172;0;0.346450;0.306040;0.305599;0.346540;0.062308;2;/public/style3.css
 200;2;10178;0;0.262455;0.167050;0.166893;0.262524;0.053236;2;/public/style4.css
 200;2;14277;0;0.261737;0.166068;0.165933;0.261809;0.052485;2;/public/style5.css
 200;2;6305;0;0.170139;0.100867;0.100781;0.170167;0.052792;2;/public/style6.css
 200;2;30154;0;0.156930;0.120175;0.119771;0.157023;0.074473;3;/public/
 200;2;2526;0;0.185186;0.112307;0.112192;0.185224;0.059424;3;/public/script1.js
 200;2;25224;0;0.187680;0.123325;0.123146;0.187711;0.059537;3;/public/script2.js
 200;2;32301;0;0.146557;0.105923;0.105840;0.146586;0.053322;3;/public/script3.js
 200;2;47624;0;0.178958;0.104925;0.104812;0.180074;0.052322;3;/public/script4.js
 200;2;51649;0;0.183739;0.132572;0.132402;0.186818;0.065397;3;/public/script5.js
 200;2;26879;0;0.176126;0.107443;0.107344;0.176154;0.052448;3;/public/script6.js
